configuracion,con_referencia,neutrales,neutrales_pct,direccionales,acuerdo_condicionado,clase_mayoritaria,exactitud_neutral_fallo,sens_compra,sens_venta,prec_compra,prec_venta,f1_compra,f1_venta,exactitud_balanceada,kappa,umbral_0.5_cobertura_pct,umbral_0.5_acuerdo,umbral_0.5_mayoritaria,umbral_0.7_cobertura_pct,umbral_0.7_acuerdo,umbral_0.7_mayoritaria,umbral_0.8_cobertura_pct,umbral_0.8_acuerdo,umbral_0.8_mayoritaria,umbral_0.9_cobertura_pct,umbral_0.9_acuerdo,umbral_0.9_mayoritaria
A_publicada,50281,4408,8.8,45873,82.6,87.0,75.4,90.1,32.3,89.9,32.7,90.0,32.5,61.2,0.225,88.1,83.5,87.4,76.0,86.2,89.1,67.0,88.3,90.3,50.7,91.4,92.4
B_oficial,50281,2707,5.4,47574,82.2,86.9,77.7,89.8,31.9,89.7,32.1,89.7,32.0,60.9,0.218,92.7,82.8,87.1,82.6,85.2,88.3,74.9,86.8,89.4,60.3,89.7,91.3
