evento_id,videos,c_w,v_w,b_w,d_w,c_s,v_s,b_s,d_s,rd_b
AMZN_2024-06-26,11,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.075070485627146
MSFT_2024-07-19,3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.6271892127681479
GOOG_2024-07-22,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.491654876777717
GOOGL_2024-07-23,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.1451323043030026
DIS_2024-07-24,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.6697269063518468
NVDA_2024-07-30,5,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.9124564352702538
AAPL_2024-08-01,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.23889190828234888
INTC_2024-08-01,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3285653208387055
WMT_2024-08-08,2,0.0,0.0,0.0,,0.0,0.0,0.0,,1.3538590853667367
BA_2024-08-24,1,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.02298951822469872
NVDA_2024-08-28,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.6863851261850221
GME_2024-09-10,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.165303663166782
DJT_2024-09-11,1,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,-0.06854931414989432
BABA_2024-09-24,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.1853676164949014
NFLX_2024-09-24,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.579487862087424
META_2024-09-25,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.3163357725129803
MSTR_2024-09-27,3,3.0,0.0,1.3862943611198906,0.0,3.0,0.0,1.3862943611198906,0.0,0.8316356101053018
HOOD_2024-10-09,6,2.0,0.0,1.0986122886681098,0.0,2.0,0.0,1.0986122886681098,0.0,1.1768130359755846
COIN_2024-10-28,7,3.0,0.0,1.3862943611198906,0.0,3.0,0.0,1.3862943611198906,0.0,1.3683834345533603
DJT_2024-10-28,2,2.0,0.0,1.0986122886681098,0.0,2.0,0.0,1.0986122886681098,0.0,0.4081176295572955
GOOGL_2024-10-28,4,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.6331544390514163
GOOG_2024-10-29,3,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.6977305195797787
RDDT_2024-10-29,8,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.8925055951742641
AMZN_2024-10-30,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.7909449238360718
SMCI_2024-10-30,1,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,0.2986899649687081
PLTR_2024-11-04,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.0344503444508237
WMT_2024-11-18,1,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.0453677741492975
NVDA_2024-11-20,4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.8577282026660761
INTC_2024-12-02,2,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,0.7094607560514691
AAPL_2024-12-03,2,0.0,0.0,0.0,,1.0,0.0,0.6931471805599453,0.0,1.13599982073973
UNH_2024-12-04,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.1255773073832023
GOOG_2024-12-10,1,0.0,0.0,0.0,,0.0,0.0,0.0,,2.175625465532758
GOOGL_2024-12-10,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.7941041361873091
META_2025-01-06,4,0.0,0.0,0.0,,0.0,0.0,0.0,,1.132658130077827
AAPL_2025-01-16,14,0.0,2.0,-1.0986122886681098,0.0,0.0,2.0,-1.0986122886681098,0.0,0.540462092894297
INTC_2025-01-17,2,0.0,1.0,-0.6931471805599453,0.0,0.0,1.0,-0.6931471805599453,0.0,1.074616783111894
AMZN_2025-01-22,5,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0170954309961207
MSFT_2025-01-27,1,0.0,0.0,0.0,,0.0,1.0,-0.6931471805599453,0.0,0.620541462068813
NVDA_2025-01-27,8,0.0,2.0,-1.0986122886681098,0.0,0.0,4.0,-1.6094379124341003,0.0,0.7572633152076043
TSLA_2025-01-29,3,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,-0.06996900760699896
PLTR_2025-02-03,3,2.0,0.0,1.0986122886681098,0.0,2.0,0.0,1.0986122886681098,0.0,0.6518920668529583
GOOG_2025-02-04,1,0.0,0.0,0.0,,0.0,0.0,0.0,,1.5339303599259553
GOOGL_2025-02-04,8,1.0,0.0,0.6931471805599453,0.0,1.0,0.0,0.6931471805599453,0.0,1.1250339049025486
GME_2025-02-18,2,0.0,0.0,0.0,,0.0,0.0,0.0,,1.5757646973275126
WMT_2025-02-19,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5776342934381009
NFLX_2025-03-07,1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.17693070815907824
TSLA_2025-03-10,26,7.0,8.0,-0.11778303565638351,0.9333333333333333,8.0,8.0,0.0,1.0,-0.0594933480957375
