poblacion,n,HR_z,HR_base,C_dentro,n_tren,n_prueba,C_tren,C_fuera,placebo_media,placebo_p95,p_empirico,medianas_terciles
"catalogo principal con precios (como el manuscrito, S4 v2)",2687,1.5563467871103664,1.1258592941646546,0.6061064218649973,1928,759,0.6046934114866505,0.6220893690064434,0.5006132733962354,0.5230042306377567,0.0,"[15.0, 10.0, 7.0]"
catalogo principal completo (incluye 104 sin precios),2791,1.36875811373532,1.1720063897254758,0.6093926679679607,2015,776,0.6082807634978895,0.6136345262240281,0.4998721189774018,0.5205865036152286,0.0,"[15.0, 9.0, 8.0]"
catalogo crudo (todos los encendidos),10417,1.3296552360359644,0.9556095454268054,0.6135290379397731,7176,3241,0.6052940042361088,0.6068807266776406,0.4999454166161819,0.511329737253676,0.0,"[5.0, 3.0, 2.0]"
