modelo,k,logL,AIC,HR_D
I2 sin interaccion,10,-17661.197024451838,35342.394048903676,1.6425099447088294
D x log(t),11,-17647.135462446517,35316.27092489303,
D x log(t) + D x log(t)^2,12,-17641.540024288715,35307.08004857743,
D por tramos (5),14,-17642.92642585947,35313.85285171894,
