tabla,episodios,tickers,mediana_por_ticker,max_por_ticker,ticker_max,tickers_un_episodio,share_top10_tickers,bloques,max_por_bloque,bloque_max,share_top3_bloques
F11,2791,1012,1.0,31,INTC,569,0.10032246506628449,26,430,2021T1,0.30813328556073094
integrada,2648,959,1.0,31,TSLA,539,0.1042296072507553,26,408,2021T1,0.3081570996978852
