tabla,modelo,covariable,HR,lo95,hi95,p,logL,concordancia
"anterior (panel v1, cierre crudo)",I1,b_duro_lag,0.8654956867418494,0.7965220521338116,0.9404419899763221,0.0006516329417678481,-17674.06830161245,0.6989424642507724
"anterior (panel v1, cierre crudo)",I1,d_duro_lag,1.7697782976438783,1.3682464969953898,2.2891454351896776,1.3736559266282608e-05,-17674.06830161245,0.6989424642507724
"anterior (panel v1, cierre crudo)",I1,sin_direccion_lag,1.5507094576241365,1.3165523335959433,1.8265129008559098,1.4981431833631476e-07,-17674.06830161245,0.6989424642507724
"anterior (panel v1, cierre crudo)",I1,log1p_n_lag,1.3946634955361616,1.3493179558293413,1.4415329295648647,1.3158108660062457e-86,-17674.06830161245,0.6989424642507724
"anterior (panel v1, cierre crudo)",I1,log_z_inicio,1.1509393700359858,1.0778639694369154,1.2289690267602555,2.6654563978624743e-05,-17674.06830161245,0.6989424642507724
"anterior (panel v1, cierre crudo)",I1,log_base_previa,0.8616583585664831,0.8301246655573593,0.8943899123741726,4.977516813512382e-15,-17674.06830161245,0.6989424642507724
"anterior (panel v1, cierre crudo)",I2,b_duro_lag,0.8530246660768133,0.7839052083817691,0.9282386099175985,0.00022674031657423873,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,d_duro_lag,1.7127269953452315,1.3178908558389564,2.2258548555729294,5.7102383196974006e-05,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,sin_direccion_lag,1.8656670068722603,1.5758137765242102,2.2088354806804307,4.5224201227430616e-13,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,log1p_n_lag,1.5568999146542153,1.495467846469753,1.6208555402727804,4.964452658401373e-103,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,log_z_inicio,1.3651205093923013,1.2677006419371157,1.470026868737626,1.7315333134782667e-16,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,log_base_previa,0.7307602907159851,0.6962544275916447,0.7669762393245562,5.210977434192796e-37,-17584.3767129403,0.7084952515878573
"anterior (panel v1, cierre crudo)",I2,log_amplitud,0.7444286006804601,0.7049155090747367,0.7861565455390105,2.7836802004497534e-26,-17584.3767129403,0.7084952515878573
