tabla,covariable,nombre,HR_unidad,sd,HR_por_sd,lo_sd,hi_sd,IQR,HR_por_IQR,RV_quitarla,nota_sd
I2 (integrada),d_duro_lag,D: desacuerdo (t-1),1.7127269953452315,0.2982695413504686,1.1740918008751797,1.0858148156784286,1.2695457245359345,0.484472049689441,1.2978227225563137,16.969689456076594,sd e IQR sobre dias con direccionales
I2 (integrada),b_duro_lag,B: optimismo neto (t-1),0.8530246660768133,0.9266064201327731,0.8630353116459375,0.79803750415628,0.9333269993811469,1.1839890879090018,0.8284365954586274,13.066600530830328,sd e IQR sobre dias con direccionales
I2 (integrada),sin_direccion_lag,Sin direccion (t-1),1.8656670068722603,0.4029976109856289,1.285717360147152,1.2011395216555083,1.3762507189051336,0.0,1.0,51.147115726686025,sd e IQR sobre todas las filas
I2 (integrada),log1p_n_lag,log(1+mensajes) (t-1),1.556899914654215,1.939817240024996,2.3602098061010404,2.182905672647593,2.5519152744969857,2.8763855159214247,3.572859003663634,451.41417358584295,sd e IQR sobre todas las filas
F11 (solo sentimiento),d_duro_lag,D: desacuerdo (t-1),1.786134422537418,0.29821741466498813,1.188844857814021,1.1022655705360709,1.2822246595831497,0.4987012987012987,1.3354570002386277,21.057517268884112,sd e IQR sobre dias con direccionales
F11 (solo sentimiento),b_duro_lag,B: optimismo neto (t-1),0.9323236228790235,0.9197291088604589,0.9375827261844395,0.8692008999249999,1.0113442916537436,1.178654996341646,0.9207243421013418,2.742115316061245,sd e IQR sobre dias con direccionales
F11 (solo sentimiento),sin_direccion_lag,Sin direccion (t-1),1.175498627424342,0.43960840286307906,1.073668562142501,1.0032137065573041,1.149071403030416,1.0,1.175498627424342,4.187458020387567,sd e IQR sobre todas las filas
F11 (solo sentimiento),log1p_n_lag,log(1+mensajes) (t-1),1.3115313260774522,2.0028331173525222,1.7214365399054465,1.629343574125834,1.8187347395478037,3.417726683613366,2.526593049859483,336.902067013747,sd e IQR sobre todas las filas
