modelo,covariable,nombre,episodios,tickers,HR,se_conv,lo_conv,hi_conv,p_conv,se_robusto,lo_robusto,hi_robusto,p_robusto,razon_se
Modelo A (conocido al encendido),log_z_inicio,log z del encendido,2687,966,1.5563467871103664,0.030554188668691647,1.465880612334755,1.65239604191969,1.6866151567658336e-47,0.04104155633265972,1.4360571954540648,1.686712290719649,4.378257043025896e-27,1.3432382963162854
Modelo A (conocido al encendido),log_base_previa,log base previa,2687,966,1.1258592941646546,0.016010466241061387,1.0910784643477973,1.1617488491211583,1.3182756535702593e-13,0.0298960260354422,1.0617849710218692,1.193800237195886,7.330524500734104e-05,1.8672801644444985
Modelo B (+ realizadas),log_z_inicio,log z del encendido,2648,959,1.423886091249033,0.03679429266188423,1.3248169901218951,1.5303635264112259,7.654795948275641e-22,0.043437657709152665,1.3076786899948778,1.5504203107113348,4.100270295798063e-16,1.1805542263936604
Modelo B (+ realizadas),log_base_previa,log base previa,2648,959,1.1471439979421636,0.01735268554365174,1.1087849040334636,1.1868301482349681,2.555331604281275e-15,0.030213342471283135,1.0811857010694526,1.2171261150726207,5.531866412094721e-06,1.7411335205308496
Modelo B (+ realizadas),log_amplitud,log amplitud,2648,959,1.0608045466093134,0.022682616479328455,1.0146771824765441,1.1090288670534918,0.009259302808857367,0.027943987690024968,1.00426749694457,1.12052445143418,0.034655998350463325,1.2319560979876993
Modelo B (+ realizadas),log_vol_ratio,log razon de volumen,2648,959,1.103686549972645,0.023124354935686466,1.0547809157590444,1.1548597271632752,1.9872032026271133e-05,0.02715808711788527,1.0464747271953667,1.1640262004751765,0.00028051898821466835,1.1744365277828261
Modelo B (+ realizadas),ret_encendido_pico,Retorno encendido-pico,2648,959,0.8388720032146411,0.026580086980736398,0.7962889503267172,0.8837322651389476,3.840497688364841e-11,0.036600572981267496,0.7808025736227502,0.9012601412317386,1.5835438082191527e-06,1.3769922200703604
Modelo B (+ realizadas),desacoplado,Desacoplado,2648,959,0.6259352356311769,0.04459504092618769,0.5735483467204924,0.6831070500767925,8.119655215610739e-26,0.048055007346889736,0.569672038743017,0.6877552215291339,1.8552818355893284e-22,1.0775863492631137
