archivo,md5_anterior,md5_nuevo,cambio
robustez_censura_endogena.csv,2f065cdd8f6d9eee4b7670c16ad25255,00772fd0063ea7bde9163c0d94418113,si
robustez_clasificador_v1.csv,25fd0341ae04ee22892557bb02fdaf4a,25fd0341ae04ee22892557bb02fdaf4a,no
robustez_desacuerdo.csv,95f977e1eb8caaeea5c482768280e143,95f977e1eb8caaeea5c482768280e143,no
robustez_goog_googl.csv,6f962eb8d5414155367ee66a3e1b2449,205d96b93708744f83b7768e2c3fb2ab,si
robustez_heterogeneidad_eras.csv,aee89e48b4e610f447d4c12b7606ca7c,aee89e48b4e610f447d4c12b7606ca7c,no
robustez_kappa_estaticas.csv,01cd2168fff81b66f6bb9eb2e3ea9a31,01cd2168fff81b66f6bb9eb2e3ea9a31,no
robustez_kappa_integrado.csv,edf3453dd29b7b551aeeb8dbc6dd9adb,edf3453dd29b7b551aeeb8dbc6dd9adb,no
robustez_v1_alineada.csv,852b33bb02052a29cc49a713409c3ad1,852b33bb02052a29cc49a713409c3ad1,no
robustez_v1_alineada_verificacion.txt,9f90cb753138f9d48c590be968266af1,9f90cb753138f9d48c590be968266af1,no
sensibilidad_direccional.csv,d25c8565afce92e887f4ab82936bf35e,1c7d69fe66c78fb1e94db2bd0999f785,si
sensibilidad_direccional_replicas.csv,363bdabae6319d59c757ed274e94a087,9842ef4576c447acd8351cfffff3f0e7,si
sensibilidad_error_clasificador.csv,4ce505743024e9885dcfc8ed3296ba31,4dc9b9f173d8d1275102469ea7ae61d4,si
tabla_startstop_bt.csv,3f67d30fb81b4960418c336b25a5ccde,3f67d30fb81b4960418c336b25a5ccde,no
tabla_supervivencia.csv,d07649112a9ac914ff6ab30addbad80a,be3653f37d6837b5422fc8547a9d034d,si
validacion_fuera_muestra.csv,401e628958c39f9d7ee6577be90da3dd,9cedc57283bab12130063cf3ec3d573d,si
validacion_temporal_limpia.csv,2eb45ba90763d0f9ee07f44dc8602191,a45d3c4e83e88602b84b2dd0b234ec67,si
weibull_aft.csv,00b690a55da4565d4180e2b429b017d3,d3237ef4e298e02389b24c3396a68dee,si
weibull_elegible.csv,10165e96a8b8da7115ce2b22b5e5769b,84d1af0f9a0b938ca5b2a5a86c3df941,si
weibull_prospectivo.csv,684632a6d1a0c18bf5f737ae5c891df9,12d68dfc0dfd7f7a6cf4616c10e466c9,si
weibull_prospectivo_escenarios.csv,e72ad9ff22162fe6572051e0102f8b8a,1c70f6accd5c96a8f89a31dd99fb62c3,si
