modelo,covariables,log_verosimilitud_parcial,AIC_parcial,concordancia_startstop,HR_log1p_n_lag,lo_log1p_n_lag,hi_log1p_n_lag,p_log1p_n_lag,HR_log_z_inicio,lo_log_z_inicio,hi_log_z_inicio,p_log_z_inicio,HR_log_base_previa,lo_log_base_previa,hi_log_base_previa,p_log_base_previa,HR_sin_direccion_lag,lo_sin_direccion_lag,hi_sin_direccion_lag,p_sin_direccion_lag,HR_d_duro_lag,lo_d_duro_lag,hi_d_duro_lag,p_d_duro_lag,HR_b_duro_lag,lo_b_duro_lag,hi_b_duro_lag,p_b_duro_lag,de,a,estadistico,gl,p,ic_lo,ic_hi
P0 volumen + encendido,3.0,-17786.036246098218,35578.072492196436,0.6911628458433632,1.2699021200044416,1.2409177624931413,1.299563470790989,1.8049364535884157e-91,1.2008979833655213,1.125313654403173,1.2815591109273843,3.399868047206935e-08,0.9479436423398364,0.9159618492393418,0.9810421141434587,0.0022656304047692115,,,,,,,,,,,,,,,,,,,
P1 P0 + silencio,4.0,-17760.41843819113,35528.83687638226,0.6899289435171405,1.3604017645130821,1.3212699379805901,1.4006925516816644,6.692816263872755e-95,1.1720115605480939,1.0980830160891506,1.2509173513588503,1.801119716672908e-06,0.9153897017877936,0.8833516707670789,0.9485897110620762,1.1529573753836874e-06,1.8147083269943414,1.5462256613517023,2.1298096354084133,2.98599594032486e-13,,,,,,,,,,,,,,,
P2 P1 + B y D (= I1),6.0,-17674.06830161245,35360.1366032249,0.6989424642507724,1.3946634955361616,1.3493179558293413,1.4415329295648647,1.3158108660062457e-86,1.1509393700359858,1.0778639694369154,1.2289690267602555,2.6654563978624743e-05,0.8616583585664831,0.8301246655573593,0.8943899123741726,4.977516813512529e-15,1.550709457624136,1.3165523335959428,1.8265129008559091,1.4981431833631852e-07,1.7697782976438787,1.3682464969953902,2.289145435189678,1.3736559266282311e-05,0.8654956867418495,0.7965220521338117,0.9404419899763222,0.0006516329417678477,,,,,,,
referencia I2 (retrospectivo),10.0,-17584.3767129403,35188.7534258806,0.7084952515878573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 volumen + encendido,P1 P0 + silencio,51.235615814177436,1.0,8.191879603593677e-13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1 P0 + silencio,P2 P1 + B y D (= I1),172.70027315735933,2.0,3.1521884419590227e-38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 volumen + encendido,P2 P1 + B y D (= I1),223.93588897153677,3.0,2.8305316492268026e-48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P2 - P0 (B, D y silencio)",diferencia de concordancia,0.007779618407409261,100.0,,0.0034645241552359344,0.012544834357611024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2 - P1 (solo B y D),diferencia de concordancia,0.00901352073363193,100.0,,0.004886443616834507,0.013668871069442918
