escenario,estratificacion,descripcion,replicas,HR_D_media,HR_D_min,HR_D_max,HR_B_media,HR_silencio_media,HR_D_base,cociente_vs_base,HR_D_E4,cociente_vs_E4
E4 uniforme (referencia en todos los dias),ninguna,la matriz del patron de referencia en todos los dias,20,0.9855721681617242,0.7729926372291615,1.234954603973448,0.72672144560746,2.0714941076259796,1.642509944708829,0.6000403049836259,0.9855721681617242,1.0
volumen: venta degradada en alto,volumen,venta degradada (x0.7) en el estrato alto; referencia en el resto,20,0.8783833705099253,0.703323590334721,1.0907679749115209,0.7494095997819304,2.1646053820416635,1.642509944708829,0.534781158153437,0.9855721681617242,0.8912420610945965
volumen: compra degradada en alto,volumen,compra degradada (x0.7) en el estrato alto; referencia en el resto,20,1.176837428135366,0.9225067181540212,1.3579285250312303,0.7337461066823229,1.881360970052786,1.642509944708829,0.7164872468056723,0.9855721681617242,1.1940652000455605
volumen: venta degradada en bajo,volumen,venta degradada (x0.7) en el estrato bajo; referencia en el resto,20,0.9383725107088935,0.7871489313821675,1.1620353078773227,0.7101101467841919,2.003665979767802,1.642509944708829,0.5713040056358628,0.9855721681617242,0.952109384804497
volumen: compra degradada en bajo,volumen,compra degradada (x0.7) en el estrato bajo; referencia en el resto,20,1.1645519195274507,1.0410782121492124,1.4418966710011623,0.7858666697225211,2.2912781937661983,1.642509944708829,0.7090075303829549,0.9855721681617242,1.1815998433676929
fase: venta degradada en temprana,fase,venta degradada (x0.7) en el estrato temprana; referencia en el resto,20,0.8910541959050209,0.6975251809684881,1.113812368738957,0.7389907765553094,2.0873399509368915,1.642509944708829,0.5424954648070517,0.9855721681617242,0.9040983752280698
fase: compra degradada en temprana,fase,compra degradada (x0.7) en el estrato temprana; referencia en el resto,20,1.1816787681533436,0.9696805992331203,1.5295331253202116,0.7570454000875599,2.115376854801096,1.642509944708829,0.7194347723494741,0.9855721681617242,1.1989774126408164
fase: venta degradada en tardia,fase,venta degradada (x0.7) en el estrato tardia; referencia en el resto,20,0.9872556138425598,0.8285641651382182,1.2371081632537708,0.7254819944953483,2.0215681656526865,1.642509944708829,0.6010652276553324,0.9855721681617242,1.0017080897119646
fase: compra degradada en tardia,fase,compra degradada (x0.7) en el estrato tardia; referencia en el resto,20,0.9820507626447871,0.8123313309459108,1.1589532977485217,0.756271228812146,2.2797683273955274,1.642509944708829,0.5978963876647195,0.9855721681617242,0.9964270444816788
postura: venta degradada en alcista,postura,venta degradada (x0.7) en el estrato alcista; referencia en el resto,20,0.8986771536825318,0.6906887832349368,1.0480354300643404,0.7615639824281499,2.0996992438736344,1.642509944708829,0.5471365068914953,0.9855721681617242,0.9118329258005856
postura: compra degradada en alcista,postura,compra degradada (x0.7) en el estrato alcista; referencia en el resto,20,1.0630870463542603,0.8446185393255978,1.346065123393649,0.7656211833124156,2.26068521676999,1.642509944708829,0.6472332479805569,0.9855721681617242,1.0786496217086932
postura: venta degradada en bajista,postura,venta degradada (x0.7) en el estrato bajista; referencia en el resto,20,0.9854442351047347,0.7884480454355071,1.2748616016545478,0.7141112178056114,2.028354607588887,1.642509944708829,0.5999624162272128,0.9855721681617242,0.9998701941256842
postura: compra degradada en bajista,postura,compra degradada (x0.7) en el estrato bajista; referencia en el resto,20,1.0198523078802584,0.8131890605381041,1.274566760469975,0.7437906037146085,2.109793582099714,1.642509944708829,0.6209108877334985,0.9855721681617242,1.0347819681053627
