replica,C_P0,C_P1,C_P2,dC_P2_P0,dC_P2_P1
1,0.6985449832863027,0.6965589781264014,0.7046511857654263,0.006106202479123635,0.008092207639024851
2,0.6889747447875589,0.6863132318674525,0.693026381547721,0.0040516367601620695,0.006713149680268482
3,0.6963781655490621,0.6967410280525921,0.7085282260959465,0.01215006054688439,0.011787198043354374
4,0.6956445464938933,0.6926780382319455,0.7055149068308156,0.009870360336922346,0.012836868598870121
5,0.6871416366378786,0.6838015654288147,0.6984518911790765,0.011310254541197828,0.014650325750261817
6,0.6853205511387411,0.6859057624484428,0.6948333731842907,0.009512822045549596,0.008927610735847913
7,0.6907638593550833,0.6906487148981375,0.7011612542790372,0.010397394923953862,0.010512539380899688
8,0.6851590031063683,0.6838288118880201,0.6957189828413398,0.01055997973497147,0.011890170953319679
9,0.6816893716508167,0.6821520550530441,0.6980857707955552,0.01639639914473856,0.015933715742511123
10,0.6869485650825305,0.684905677275672,0.6920995202512487,0.005150955168718108,0.007193842975576681
11,0.6910245505792362,0.690778378568934,0.6960220813903222,0.004997530811086004,0.005243702821388196
12,0.685397405518054,0.684380201779763,0.6931326350028022,0.007735229484748252,0.008752433223039202
13,0.698259433058801,0.6973146308178509,0.7041730511396285,0.005913618080827465,0.006858420321777525
14,0.6835376468935783,0.6827287382972549,0.6914545290645561,0.007916882170977746,0.008725790767301178
15,0.6888486964079055,0.6867145744280652,0.6954593569622026,0.006610660554297154,0.008744782534137463
16,0.6806842933685231,0.6789087039877416,0.6932577100446642,0.012573416676141091,0.014349006056922575
17,0.6950323427569542,0.6949829919001784,0.7097930344705267,0.014760691713572416,0.014810042570348236
18,0.6889799829323432,0.6863827047744524,0.6939260102106508,0.004946027278307619,0.007543305436198411
19,0.6792201230031424,0.6790742174769705,0.6882922774716486,0.009072154468506177,0.009218059994678063
20,0.6947777473142547,0.693225504434039,0.7024796975251514,0.007701950210896702,0.009254193091112417
21,0.6938516529725692,0.6917590246469776,0.698139113327423,0.004287460354853723,0.006380088680445373
22,0.6903167059735632,0.690010294355247,0.6978751578721655,0.00755845189860227,0.007864863516918508
23,0.686359931663919,0.6851870123175965,0.6953336765684619,0.008973744904542946,0.010146664250865411
24,0.6980729856570297,0.6970697340576116,0.7090112979403149,0.010938312283285234,0.011941563882703288
25,0.7017945346700333,0.6992991289536986,0.7092072432803932,0.007412708610359919,0.009908114326694584
26,0.7048764368494347,0.703716589786713,0.7152463420150565,0.010369905165621862,0.011529752228343515
27,0.6945870462532867,0.694422371354472,0.7031549315341653,0.008567885280878595,0.00873256017969326
28,0.6798759883911654,0.6802829070845082,0.6894340962013153,0.009558107810149985,0.009151189116807124
29,0.6831929036604536,0.6814334905307283,0.6921486638221424,0.008955760161688753,0.010715173291414026
30,0.6939384307429662,0.6929821725945693,0.7077779852912831,0.013839554548316868,0.014795812696713817
31,0.7001947939340302,0.7001517389432391,0.7078532004209821,0.00765840648695193,0.007701461477742977
32,0.6963330430455337,0.6967496339502747,0.7089949542557468,0.012661911210213095,0.012245320305472096
33,0.682834610338243,0.6815685591512975,0.693142262569098,0.010307652230855058,0.011573703417800507
34,0.6803522442698476,0.6788554868956816,0.6855868627057407,0.005234618435893013,0.006731375810059004
35,0.6964986955924757,0.6948041597764896,0.7013223170098323,0.004823621417356594,0.006518157233342703
36,0.6881340270954392,0.6882302225071572,0.6995854634990692,0.01145143640363,0.011355240991912097
37,0.6973206175523867,0.6932206610988985,0.7026769881376908,0.005356370585304027,0.00945632703879229
38,0.6850496804432716,0.685663609370318,0.697655986494161,0.012606306050889415,0.011992377123843045
39,0.6905398456505704,0.6882379912591826,0.6949279240453938,0.004388078394823469,0.006689932786211217
40,0.6901661784449776,0.6904386950959539,0.702324062593463,0.012157884148485398,0.011885367497509125
41,0.6953146042801169,0.6921297155327522,0.7020046064468708,0.006690002166753861,0.00987489091411864
42,0.6936918612575538,0.6923342608671688,0.7017460981720025,0.008054236914448731,0.009411837304833748
43,0.6920577701594658,0.690744349508148,0.700099890593167,0.008042120433701228,0.009355541085019015
44,0.6840344045325657,0.6805672764593547,0.6866268258941894,0.0025924213616237424,0.006059549434834777
45,0.7000982719395471,0.6991879477019772,0.7088084265570568,0.00871015461750968,0.00962047885507955
46,0.6861300853849791,0.6827459264504679,0.6979998787425181,0.011869793357539016,0.015253952292050177
47,0.6961683548505567,0.6939980251226666,0.7036114095110787,0.007443054660521975,0.009613384388412083
48,0.6922348411360008,0.6904192099332905,0.6988774307161938,0.006642589580193037,0.008458220782903259
49,0.6889584661939766,0.6867918540163611,0.699574268178175,0.010615801984198425,0.012782414161813915
50,0.6956856923660402,0.6950135431052699,0.6985299985086595,0.002844306142619324,0.003516455403389629
51,0.6880490794980954,0.6876064859957384,0.6968457000189641,0.008796620520868714,0.009239214023225695
52,0.679778345408754,0.6769793146253834,0.6899640721421836,0.010185726733429545,0.012984757516800172
53,0.6997973295576647,0.7003775868430258,0.7094465046841689,0.009649175126504206,0.009068917841143165
54,0.6920062785012486,0.692337434441893,0.7008406933513939,0.008834414850145245,0.008503258909500877
