subpoblacion,eventos,filas,muertes,HR_d_duro_lag,lo_d_duro_lag,hi_d_duro_lag,p_d_duro_lag,HR_b_duro_lag,lo_b_duro_lag,hi_b_duro_lag,p_b_duro_lag,HR_sin_direccion_lag,lo_sin_direccion_lag,hi_sin_direccion_lag,p_sin_direccion_lag,HR_desacoplado,lo_desacoplado,hi_desacoplado,p_desacoplado
base: todos los eventos del I2,2648,40198,2642,1.6425099447088294,1.2635773145078864,2.1350802103614086,0.0002087304650614636,0.8628483516533377,0.7932114364904511,0.9385987691313936,0.000590623634811148,1.9468563546402844,1.6446846307969853,2.3045449532574325,9.815265940183681e-15,0.6631801954410182,0.6073870755366779,0.7240983375166151,5.1958301829553694e-20
P20: subida >= 20% y caida tras el pico,565,9646,564,1.080094918002746,0.5439066767948503,2.1448624951066306,0.8257720696679917,0.6782764182502191,0.5454224599466145,0.8434909328804984,0.00048253306565162747,2.155395594096253,1.3110100948168217,3.543626540647389,0.0024658496382295543,0.5119265362307694,0.4237719880268103,0.6184193054323668,3.807890206777433e-12
P10: subida >= 10% y caida tras el pico,771,12687,769,1.4022261105022091,0.7785365684526503,2.525556466643658,0.2601305072125518,0.7794980354420031,0.6477083548355883,0.9381030562932564,0.008385713121352355,2.456353045274315,1.6522918892399447,3.651697573728267,8.906487528897247e-06,0.5530406963659773,0.4731419144684991,0.6464318685030139,1.0056987433993845e-13
P20s: subida >= 20% (con o sin caida),1079,18249,1077,1.3581063031463272,0.8335193925378169,2.2128492116181935,0.21911566502224586,0.7654860478885187,0.6545845845522482,0.8951767324505518,0.0008178611518147765,2.0061334559068715,1.4600928668156585,2.756380456598014,1.747327897012438e-05,0.5909732417897133,0.5178159467999133,0.6744662358697013,6.1412002817807025e-15
NO: complemento de P10,1877,27511,1873,1.5510404437849712,1.1559512142000474,2.0811660809764487,0.0034324557085501574,0.8956991026991177,0.8151247308893786,0.9842381811930111,0.022003897526995688,1.8060256635852046,1.4915334810411205,2.1868290179122405,1.3985012962571964e-09,0.5916837751377236,0.5267927461407673,0.6645681671320486,8.424450516229611e-19
