covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),modelo
b_duro_lag,-0.1424341715000195,0.8672446418271286,0.04232829382319185,-0.22539610292050477,-0.059472240079534236,0.7981999867873946,0.9422616903377554,0.0,-3.364987308370535,0.000765471799937081,10.351363149884895,I1 - integrado predictivo (sentimiento + encendido)
d_duro_lag,0.5678771209321317,1.764517215955723,0.1311567685127544,0.3108145783184761,0.8249396635457873,1.3645361831339389,2.2817430888884838,0.0,4.32975840569683,1.4927301670250125e-05,16.031687073785132,I1 - integrado predictivo (sentimiento + encendido)
sin_direccion_lag,0.45022258932170584,1.5686613138904455,0.08314680801195873,0.2872578401888003,0.6131873384546114,1.3327678102810696,1.8463068350799667,0.0,5.414791019481491,6.136032870345063e-08,23.958118547810074,I1 - integrado predictivo (sentimiento + encendido)
log1p_n_lag,0.3327422688510297,1.394787771886176,0.016851161019434853,0.29971460015525214,0.36576993754680726,1.3494736130517326,1.4416235410515024,0.0,19.74595509871812,8.690610505088079e-87,285.8882867269841,I1 - integrado predictivo (sentimiento + encendido)
log_z_inicio,0.14148569055090818,1.1519840198861806,0.033441066975043295,0.07594240367523152,0.20702897742658483,1.0789004316680564,1.230018214026835,0.0,4.2308964201560135,2.327618435189036e-05,15.39078589676541,I1 - integrado predictivo (sentimiento + encendido)
log_base_previa,-0.1482215944490423,0.8622400261671808,0.01901401088118502,-0.18548837097781762,-0.11095481792026696,0.8306984957359872,0.894979185036428,0.0,-7.79538811538771,6.421081002433673e-15,47.14610522478442,I1 - integrado predictivo (sentimiento + encendido)
b_duro_lag,-0.14751632564172373,0.8628483516533377,0.04293402291826957,-0.23166546427294937,-0.06336718701049811,0.7932114364904511,0.9385987691313936,0.0,-3.4358840754927633,0.000590623634811148,10.725473290022071,I2 - integrado completo (+ realizadas del evento)
d_duro_lag,0.49622552597554714,1.6425099447088294,0.13381811672259483,0.23394683672028416,0.7585042152308101,1.2635773145078864,2.1350802103614086,0.0,3.708208859374575,0.0002087304650614636,12.226071196466812,I2 - integrado completo (+ realizadas del evento)
sin_direccion_lag,0.6662159458770195,1.9468563546402844,0.08605632306041078,0.49754865203667065,0.8348832397173683,1.6446846307969853,2.3045449532574325,0.0,7.741626904153711,9.815265940183681e-15,46.53389406592093,I2 - integrado completo (+ realizadas del evento)
log1p_n_lag,0.44152756811892757,1.5550808970726355,0.020547277997151597,0.4012556432641782,0.48179949297367697,1.4936990738018303,1.6189851348606155,0.0,21.48837272655459,1.999987355574883e-102,337.8366747995645,I2 - integrado completo (+ realizadas del evento)
log_z_inicio,0.28488328682176517,1.3296068364255098,0.03780889377466611,0.21077921672811895,0.3589873569154114,1.2346397371670004,1.4318786980937162,0.0,7.534822058524535,4.8900118329945797e-14,44.217155372165415,I2 - integrado completo (+ realizadas del evento)
log_base_previa,-0.3021387913394525,0.7392354582898161,0.024831085927073875,-0.35080682545353664,-0.2534707572253683,0.704119758733907,0.7761024399820454,0.0,-12.16776391603655,4.615538061395613e-34,110.73905638474373,I2 - integrado completo (+ realizadas del evento)
log_amplitud,-0.26426509339100995,0.767769981928969,0.028150209332338465,-0.31943848983965667,-0.20909169694236324,0.7265568916324546,0.8113208365923897,0.0,-9.387677735221203,6.133767426235008e-21,67.14371652759122,I2 - integrado completo (+ realizadas del evento)
log_vol_ratio,0.022938933527783263,1.02320405417741,0.02496419256506829,-0.02598998480287318,0.0718678518584397,0.9743448478156044,1.074513339740288,0.0,0.918873441149508,0.3581617730788619,1.4813167294578,I2 - integrado completo (+ realizadas del evento)
ret_encendido_pico,-0.14158362467096633,0.8679825877915603,0.025639953190981227,-0.19183700949058236,-0.09133023985135029,0.8254413966417118,0.9127162458467651,0.0,-5.5219923225432375,3.351771387471813e-08,24.830501007856476,I2 - integrado completo (+ realizadas del evento)
desacoplado,-0.41070853772843824,0.6631801954410182,0.04483779697023964,-0.4985890049362271,-0.3228280705206494,0.6073870755366779,0.7240983375166151,0.0,-9.159873264983098,5.1958301829553694e-20,64.0612076182724,I2 - integrado completo (+ realizadas del evento)
b_duro_lag,-0.16193998554152747,0.8504922448401488,0.043164859267219975,-0.24654155510301862,-0.07733841598003632,0.7814988855955389,0.9255765706972426,0.0,-3.751662539636891,0.000175665809464981,12.474878958352926,"I3 - integrado completo, estratificado por anio"
d_duro_lag,0.5019150753696692,1.651881721481904,0.13395182876214937,0.23937431533257986,0.7644558354067585,1.2704539980028253,2.1478252861225995,0.0,3.746981881530645,0.0001789750080723361,12.447954234782726,"I3 - integrado completo, estratificado por anio"
