covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
log_z_inicio,0.3533898176898472,1.423886091249033,0.03679429266188423,0.2812743292359277,0.42550530614376664,1.3248169901218951,1.5303635264112259,0.0,9.60447374100302,7.654795948275641e-22,70.14605416679683
log_base_previa,0.13727537337299275,1.1471439979421636,0.01735268554365174,0.10326473467238649,0.171286012073599,1.1087849040334636,1.1868301482349681,0.0,7.910900766781497,2.555331604281275e-15,48.47541090208505
log_amplitud,0.05902762645961377,1.0608045466093134,0.022682616479328455,0.01457051508499528,0.10348473783423226,1.0146771824765441,1.1090288670534918,0.0,2.6023288148176347,0.009259302808857367,6.75488071667019
log_vol_ratio,0.09865598541515841,1.103686549972645,0.023124354935686466,0.0533330825754919,0.1439788882548249,1.0547809157590444,1.1548597271632752,0.0,4.266323782416451,1.9872032026271133e-05,15.618901070679964
ret_encendido_pico,-0.17569714289617808,0.8388720032146411,0.026580086980736398,-0.2277931560843634,-0.12360112970799275,0.7962889503267172,0.8837322651389476,0.0,-6.610104136360144,3.840497688364841e-11,34.59991576249935
desacoplado,-0.4685083706923143,0.6259352356311769,0.04459504092618769,-0.555913044796732,-0.3811036965878967,0.5735483467204924,0.6831070500767925,0.0,-10.505840132937083,8.119655215610739e-26,83.34871199942566
