comparacion,modelo,eventos,filas,muertes,eventos_sin_par,HR_D,lo_D,hi_D,HR_B,HR_silencio
0.25 vs 0.50,"kappa 0.50, cohorte comun",1773,17563,1770,53,2.573938911255727,1.8107363634380855,3.6588217106862393,1.0617629883410193,1.5524639185802283
0.25 vs 0.50,"kappa 0.25 (base), cohorte comun con 0.50",1773,31413,1769,1018,1.9749904612057183,1.3973562825263,2.7914050057453137,0.8758307754638627,1.2900297991152556
0.25 vs 0.10,"kappa 0.10, cohorte comun",2620,53239,1968,1,1.4174577653615328,1.0876925406752957,1.8472007864798847,0.8420918551347301,0.7396685976452917
0.25 vs 0.10,"kappa 0.25 (base), cohorte comun con 0.10",2620,43867,2614,171,1.6770215084506286,1.2930211482674079,2.1750619806756575,0.8577220992455458,1.2382668936378278
