diseno,replicas,mejora_real,mejora_placebo_media,mejora_placebo_min,mejora_placebo_max,mejora_placebo_p95,r_mejora,p_mejora,C_real,C_placebo_media,C_placebo_min,C_placebo_max,C_placebo_p95,r_C,p_C,dias_prolongados_media
original (donantes al azar),300,0.2539722800515828,0.18579796273406454,0.16049196800160942,0.2141585887382088,0.2036073916959144,0,0.0033222591362126247,0.7418891524017501,0.7146735440914416,0.6981942846408529,0.7311816595048567,0.7224673413639531,0,0.0033222591362126247,6.184882246376811
por bandas de duracion (deciles),300,0.2539722800515828,0.19796162348106577,0.1766479876472808,0.21834879456321887,0.20955923907891952,0,0.0033222591362126247,0.7418891524017501,0.7242030040466183,0.7170028412426327,0.7306728970499605,0.7287429262450983,0,0.0033222591362126247,1.3768115942028984
