panel,modelo,covariable,HR,lo95,hi95,p,logL,concordancia
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I1,b_duro_lag,0.8654956867418494,0.7965220521338116,0.9404419899763221,0.0006516329417678481,-17674.06830161245,0.6989424642507724
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I1,d_duro_lag,1.7697782976438783,1.3682464969953898,2.2891454351896776,1.3736559266282608e-05,-17674.06830161245,0.6989424642507724
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I1,sin_direccion_lag,1.5507094576241365,1.3165523335959433,1.8265129008559098,1.4981431833631476e-07,-17674.06830161245,0.6989424642507724
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I1,log1p_n_lag,1.3946634955361616,1.3493179558293413,1.4415329295648647,1.3158108660062457e-86,-17674.06830161245,0.6989424642507724
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I1,log_z_inicio,1.1509393700359858,1.0778639694369154,1.2289690267602555,2.6654563978624743e-05,-17674.06830161245,0.6989424642507724
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I1,log_base_previa,0.8616583585664831,0.8301246655573593,0.8943899123741726,4.977516813512382e-15,-17674.06830161245,0.6989424642507724
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,b_duro_lag,0.8530246660768133,0.7839052083817691,0.9282386099175985,0.00022674031657423873,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,d_duro_lag,1.7127269953452315,1.3178908558389564,2.2258548555729294,5.7102383196974006e-05,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,sin_direccion_lag,1.8656670068722603,1.5758137765242102,2.2088354806804307,4.5224201227430616e-13,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,log1p_n_lag,1.5568999146542153,1.495467846469753,1.6208555402727804,4.964452658401373e-103,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,log_z_inicio,1.3651205093923013,1.2677006419371157,1.470026868737626,1.7315333134782667e-16,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,log_base_previa,0.7307602907159851,0.6962544275916447,0.7669762393245562,5.210977434192796e-37,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,log_amplitud,0.7444286006804601,0.7049155090747367,0.7861565455390105,2.7836802004497534e-26,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,log_vol_ratio,0.9682283373466193,0.9250107798525266,1.0134650683643471,0.165788957015465,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,ret_encendido_pico,0.9987208742927975,0.994521397746353,1.0029380835932122,0.551608479637807,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I2,desacoplado,0.6978508343774279,0.6399679472833482,0.7609690283842498,3.8499158585517076e-16,-17584.3767129403,0.7084952515878573
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,b_duro_lag,0.8422434859696347,0.7736821260170245,0.9168805453865078,7.398443610406875e-05,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,d_duro_lag,1.7322400292484703,1.332746626802439,2.2514823587511104,4.0024903886583286e-05,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,sin_direccion_lag,1.763577596824437,1.4861152962273054,2.0928429630707077,8.249537978611471e-11,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,log1p_n_lag,1.5567393342981488,1.4947805610918656,1.621266303584279,3.230210099170165e-101,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,log_z_inicio,1.3610383908022288,1.2635410581073356,1.4660588109517214,4.3631866032020047e-16,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,log_base_previa,0.7308759118051943,0.6957196517210912,0.7678086958383386,1.1630363110034148e-35,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,log_amplitud,0.7487011485611897,0.7085119849588594,0.7911699756065439,8.565761479128859e-25,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,log_vol_ratio,0.976404285938503,0.9323951392401582,1.0224906688981767,0.31021679151899034,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,ret_encendido_pico,0.9988275025549794,0.9949225158970973,1.0027478159549492,0.5572062276572433,-12919.75450615749,0.70875892655928
oficial (panel v1: CRSP 2020-2024 + Yahoo 2025-2026),I3,desacoplado,0.7096671626008483,0.6500947059081014,0.7746986355940769,1.7668818525673702e-14,-12919.75450615749,0.70875892655928
crsp_v2 completo,I1,b_duro_lag,0.8672446418271286,0.7981999867873946,0.9422616903377554,0.000765471799937081,-17769.45948849851,0.6984690390935664
crsp_v2 completo,I1,d_duro_lag,1.764517215955723,1.3645361831339389,2.2817430888884838,1.4927301670250125e-05,-17769.45948849851,0.6984690390935664
crsp_v2 completo,I1,sin_direccion_lag,1.5686613138904455,1.3327678102810696,1.8463068350799667,6.136032870345063e-08,-17769.45948849851,0.6984690390935664
crsp_v2 completo,I1,log1p_n_lag,1.394787771886176,1.3494736130517326,1.4416235410515024,8.690610505088079e-87,-17769.45948849851,0.6984690390935664
crsp_v2 completo,I1,log_z_inicio,1.1519840198861806,1.0789004316680564,1.230018214026835,2.327618435189036e-05,-17769.45948849851,0.6984690390935664
crsp_v2 completo,I1,log_base_previa,0.8622400261671808,0.8306984957359872,0.894979185036428,6.421081002433673e-15,-17769.45948849851,0.6984690390935664
crsp_v2 completo,I2,b_duro_lag,0.8561737645320839,0.7869214569646902,0.9315205584817751,0.00030813603180350637,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,d_duro_lag,1.6787755425941315,1.2917371566601534,2.181780796411426,0.0001068910609174418,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,sin_direccion_lag,1.9070751385777434,1.6115099846016887,2.2568495503800725,5.74922956435996e-14,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,log1p_n_lag,1.5558817772076994,1.4945059430183054,1.619778172148318,8.72111694468626e-103,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,log_z_inicio,1.3536304804718577,1.2569567954975607,1.4577394260692618,1.1542036562014934e-15,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,log_base_previa,0.7339360468399967,0.6992274273310596,0.7703675510944801,6.208900251573899e-36,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,log_amplitud,0.7565918697338762,0.7160402757671622,0.7994400269371753,3.269818082805145e-23,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,log_vol_ratio,0.9879379801330146,0.9416126280839006,1.0365424416359188,0.6204235584016935,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,ret_encendido_pico,0.9442809525010687,0.9104135987544216,0.979408170611967,0.0020945813433818133,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I2,desacoplado,0.6813054457361625,0.624249997884829,0.7435756699439979,7.994539256608889e-18,-17672.86443527026,0.7099051344123469
crsp_v2 completo,I3,b_duro_lag,0.8452313446272912,0.7765270610837778,0.9200143327179966,0.00010138006801783606,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,d_duro_lag,1.6948555778374408,1.3037234066823968,2.2033319452601274,8.106610672358207e-05,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,sin_direccion_lag,1.8049204810959658,1.5215593079680703,2.141052225844657,1.2265111213976955e-11,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,log1p_n_lag,1.555549595353439,1.493684104058178,1.6199774350079053,5.03432796004657e-101,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,log_z_inicio,1.3486785557142311,1.2519818836709233,1.452843583734732,3.2658119075891217e-15,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,log_base_previa,0.734415564178729,0.699037490642059,0.7715841111934616,1.5934581101497402e-34,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,log_amplitud,0.7614615788291075,0.7201487351527898,0.8051444204923851,1.017067891387119e-21,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,log_vol_ratio,0.9973254946388832,0.9501086625577514,1.0468888259359848,0.9138179656650518,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,ret_encendido_pico,0.9427576921398245,0.908042648793703,0.9787999134947368,0.002074321621852905,-12983.153280670393,0.7102163308475484
crsp_v2 completo,I3,desacoplado,0.6924622833484513,0.6337897027498249,0.7565664317039636,4.102248947478694e-16,-12983.153280670393,0.7102163308475484
crsp_v2 en los mismos eventos del oficial,I1,b_duro_lag,0.8654956867418494,0.7965220521338116,0.9404419899763221,0.0006516329417678481,-17674.06830161245,0.6989424642507724
crsp_v2 en los mismos eventos del oficial,I1,d_duro_lag,1.7697782976438783,1.3682464969953898,2.2891454351896776,1.3736559266282608e-05,-17674.06830161245,0.6989424642507724
crsp_v2 en los mismos eventos del oficial,I1,sin_direccion_lag,1.5507094576241365,1.3165523335959433,1.8265129008559098,1.4981431833631476e-07,-17674.06830161245,0.6989424642507724
crsp_v2 en los mismos eventos del oficial,I1,log1p_n_lag,1.3946634955361616,1.3493179558293413,1.4415329295648647,1.3158108660062457e-86,-17674.06830161245,0.6989424642507724
crsp_v2 en los mismos eventos del oficial,I1,log_z_inicio,1.1509393700359858,1.0778639694369154,1.2289690267602555,2.6654563978624743e-05,-17674.06830161245,0.6989424642507724
crsp_v2 en los mismos eventos del oficial,I1,log_base_previa,0.8616583585664831,0.8301246655573593,0.8943899123741726,4.977516813512382e-15,-17674.06830161245,0.6989424642507724
crsp_v2 en los mismos eventos del oficial,I2,b_duro_lag,0.8542052825968494,0.7850582214656272,0.9294427405067446,0.0002533316818039797,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,d_duro_lag,1.6824334582244422,1.2942597814823205,2.1870279690767953,0.00010135533084561979,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,sin_direccion_lag,1.8868432435379041,1.593304084978607,2.234461995829528,1.8513659191614105e-13,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,log1p_n_lag,1.5577871719336183,1.4962946035540539,1.621806873644369,3.3207549573339614e-103,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,log_z_inicio,1.3552416143834656,1.2583382478122347,1.4596074120372489,9.681393590275579e-16,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,log_base_previa,0.7320372546640544,0.6973827566942931,0.7684138116007292,1.9534784087943125e-36,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,log_amplitud,0.7543007615092101,0.7137837184371371,0.7971177040282734,1.38368729465155e-23,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,log_vol_ratio,0.9869528518044964,0.9405968741449918,1.035593417818307,0.5926117936024629,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,ret_encendido_pico,0.9442899130325626,0.9103287123441268,0.9795180880969139,0.0021596838970032563,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I2,desacoplado,0.6817631404298629,0.6246329349007212,0.7441185913814552,9.578447270929777e-18,-17576.440362043682,0.710717180837889
crsp_v2 en los mismos eventos del oficial,I3,b_duro_lag,0.8438128941176718,0.7752284677402574,0.9184649814973069,8.623854053967996e-05,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,d_duro_lag,1.7007332835546172,1.3081009318636567,2.211215993608018,7.3264697318353e-05,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,sin_direccion_lag,1.7859181093397405,1.5045203264276703,2.1199470935967897,3.37319563237164e-11,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,log1p_n_lag,1.5576051526652999,1.4956075268933422,1.6221727745975096,1.8794290678940174e-101,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,log_z_inicio,1.3503768363017716,1.2534260331981044,1.4548266524891733,2.7393137572502857e-15,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,log_base_previa,0.7324345879714361,0.6971128690583085,0.7695460082117869,5.02513744392918e-35,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,log_amplitud,0.7590669013128145,0.7177935545503012,0.8027134780133507,4.287826954502066e-22,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,log_vol_ratio,0.9962023738573318,0.948968976429762,1.0457867373206347,0.8779841516936573,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,ret_encendido_pico,0.9430185117971512,0.9082158928859223,0.9791547588606376,0.002228702462596981,-12912.427249935514,0.7110647249649816
crsp_v2 en los mismos eventos del oficial,I3,desacoplado,0.6935376766729213,0.6347286001770576,0.7577955504615677,5.744509912465205e-16,-12912.427249935514,0.7110647249649816
