modelo,covariable,exp_coef,lo,hi,p,rho,C
prospectivo (dia 3),b_temprano,0.7831099279778763,0.7318749759013637,0.8379315859819274,1.4232739301441753e-12,1.0700139025167281,0.6140986810428408
prospectivo (dia 3),d_temprano,0.37768990229053134,0.29713576635113903,0.48008243519110877,1.7852125600329606e-15,1.0700139025167281,0.6140986810428408
prospectivo (dia 3),log_base_previa,0.984163132868491,0.9518365292957014,1.0175876238057482,0.3488534973534364,1.0700139025167281,0.6140986810428408
prospectivo (dia 3),log_z_inicio,0.7937793813092993,0.7434564317080298,0.8475085819678823,4.805030793981052e-12,1.0700139025167281,0.6140986810428408
prospectivo (dia 3),sin_dir_temprano,1.2300718462404874,1.0671841550003967,1.4178216007273075,0.004274693682350604,1.0700139025167281,0.6140986810428408
retrospectivo de referencia (S6 + truncamiento),b_temprano,0.7801532732223515,0.7329846026786083,0.8303573192333741,6.083341699150607e-15,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),d_temprano,0.40611807959401575,0.3206191302156375,0.5144168860485765,7.93941388718857e-14,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),desacoplado,1.427072969542211,1.3140554256513084,1.54981077711286,2.966173005327419e-17,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),log_amplitud,0.9925519157654988,0.9504248615786434,1.0365462282346287,0.7354764771546667,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),log_base_previa,0.9710202664769649,0.937442733556378,1.005800486960936,0.10145400779307623,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),log_vol_ratio,0.9255190881160198,0.8858016847708325,0.9670173326535473,0.0005428854754978067,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),log_z_inicio,0.8102804142888516,0.7546318260229687,0.8700326796979396,6.8260064577035006e-09,1.1201353426600897,0.6290246331110912
retrospectivo de referencia (S6 + truncamiento),ret_encendido_pico,1.1550655463932105,1.1006821587358409,1.2121359521235255,4.667716287586841e-09,1.1201353426600897,0.6290246331110912
