tramo,desde,hasta,HR,lo95,hi95,p,filas,muertes
3-5,3,5,3.729018720582531,2.545046865897555,5.463781749870028,1.4487733646763742e-11,7304,535
6-9,6,9,1.8093338613806258,1.25594872343362,2.606546717121249,0.0014552623108403584,7546,662
10-15,10,15,1.2412686562143254,0.8552664859254263,1.8014828153040248,0.2554155092771204,7167,580
16-30,16,30,1.1897505356931366,0.8231912509372337,1.719535205908104,0.3551859836320652,8012,590
31-+,31,10000,1.382783694891966,0.8268505385065548,2.3124986413054387,0.21672366237082266,4873,275
