kappa,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
0.25,b_duro_lag,-0.13798245766439182,0.8711139729854307,0.04204732227427363,-0.22039369496831693,-0.05557122036046672,0.8022029125350726,0.9459446507522932,0.0,-3.2815991649678833,0.00103220222234125,9.92005864278793
0.25,d_duro_lag,0.5525993790102791,1.7377642600555507,0.12858323610872502,0.30058086722156785,0.8046178907989904,1.3506431240808903,2.2358419997742924,0.0,4.297600493916815,1.7265698977818867e-05,15.821731733560275
0.25,sin_direccion_lag,0.22982004289528102,1.2583735362940727,0.08165885800268848,0.06977162219134123,0.3898684635992208,1.0722632721529795,1.4767865299216665,0.0,2.8143920759670014,0.004886958400119797,7.676847460862503
0.25,log1p_n_lag,0.3330920247072805,1.3952756923991747,0.016792680661808623,0.3001789754062534,0.3660050740083076,1.3501004207252345,1.4419625591659586,0.0,19.835548082851798,1.4690655283614535e-87,288.45284550577765
0.25,log_z_inicio,0.030702358781594098,1.0311785369696476,0.0288652645574805,-0.025872520155288185,0.08727723771847638,0.9744593056120201,1.0911991593523005,0.0,1.0636437688092317,0.2874901066976918,1.7984157849651723
0.25,log_base_previa,-0.12175341117466765,0.8853666631124606,0.018651832294086353,-0.15831033071675799,-0.08519649163257731,0.8535848472644543,0.9183318221533946,0.0,-6.52769171709045,6.679098849589045e-11,33.80155557772774
0.50,b_duro_lag,0.0692042616125874,1.071655084789396,0.052797933503303834,-0.0342777865120288,0.1726863097372036,0.9663030414000664,1.188493227850135,0.0,1.3107380728879652,0.18994627100490263,2.3963367053668794
0.50,d_duro_lag,0.9807137035574612,2.666358552590176,0.17832328870089414,0.6312064800989703,1.3302209270159522,1.879877246131129,3.7818788144823716,0.0,5.4996389462199495,3.8056971449618994e-08,24.647264001703025
0.50,sin_direccion_lag,0.4518551460316124,1.5712243340126015,0.10730354633903746,0.24154405979367422,0.6621662322695506,1.2732135512080915,1.9389880868381175,0.0,4.210999183605041,2.5424366534511797e-05,15.26342864564031
0.50,log1p_n_lag,0.3265505099303245,1.3861782637623126,0.020368272459482493,0.28662942948243975,0.3664715903782092,1.3319305478198964,1.4426354152415786,0.0,16.03231253803747,7.600102823058152e-58,189.74581056631703
0.50,log_z_inicio,-0.06623204647882532,0.9359136636221401,0.040265366484981496,-0.14515071461369522,0.012686621656044575,0.8648919314339489,1.012767438242093,0.0,-1.6448887036339055,0.09999276489651195,3.3220324791427878
0.50,log_base_previa,-0.16841020504053972,0.8450071373939811,0.02353150563550695,-0.21453110858813465,-0.12228930149294479,0.8069197092085592,0.884892330795973,0.0,-7.156796834386308,8.258394741730131e-13,40.13920385421686
0.10,b_duro_lag,-0.1718661790809242,0.84209185513473,0.047178210290506194,-0.2643337721053733,-0.0793985860564751,0.7677172542843373,0.9236716884073269,0.0,-3.642914345894747,0.000269568559880167,11.857060136553324
0.10,d_duro_lag,0.34886496101647274,1.4174577653615323,0.13510781111235368,0.08405851720621904,0.6136714048267264,1.087692540675295,1.8472007864798845,0.0,2.582122810992488,0.00981946348832118,6.6701400833281665
0.10,sin_direccion_lag,-0.30155303411453727,0.7396685976452917,0.09368363504890605,-0.48516958475118743,-0.1179364834778871,0.6155927927612788,0.8887525012897877,0.0,-3.218844293959306,0.0012870835403277275,9.601678587509797
0.10,log1p_n_lag,0.12106474821024817,1.1286979911762967,0.02192662591924633,0.0780893511060429,0.16404014531445343,1.081219262491168,1.1782616158263401,0.0,5.521357853055827,3.3638988912920064e-08,24.825290415938596
0.10,log_z_inicio,0.044786331804918846,1.045804380899914,0.035300886930367134,-0.024402135200921445,0.11397479881075914,0.9758931898361874,1.1207238809536535,0.0,1.2687027352389828,0.20454710655483116,2.289494965329555
0.10,log_base_previa,0.06308976599374234,1.0651224467149776,0.02250342787351597,0.018983857832956266,0.10719567415452842,1.0191651969497713,1.1131520482562285,0.0,2.8035624771634002,0.005054143894720043,7.628317545341055
